"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2004-03,0.7496,1.2261,0.6607,1.8261,2.9067,1.3286,8.2771,6.0757,7.7930,44.9693,108.5157,1166.2870,3.8000,11.0190,6.9598,7.5322,6.6140,1.6996,97.5222,1.2778,33.2522,39.4696,1.9200
2004-04,0.7443,1.1989,0.6415,1.8031,2.9079,1.3420,8.2769,6.2104,7.7970,43.8918,107.6564,1152.8636,3.8000,11.2701,6.9263,7.6496,6.5747,1.6849,98.1323,1.2969,32.9705,39.4527,1.9200
2004-05,0.7039,1.2000,0.6151,1.7860,3.1023,1.3789,8.2771,6.2021,7.7971,45.1755,112.1960,1177.8750,3.8000,11.5199,6.8428,7.6097,6.7996,1.7124,98.9288,1.2839,33.4442,40.5600,1.9198
2004-06,0.6937,1.2146,0.6284,1.8279,3.1293,1.3578,8.2767,6.1220,7.7980,45.5027,109.4336,1159.0227,3.8000,11.3926,6.8279,7.5323,6.4216,1.7136,100.9300,1.2503,33.5677,40.8268,1.9200
2004-07,0.7161,1.2266,0.6467,1.8438,3.0384,1.3225,8.2767,6.0631,7.8000,46.0557,109.4871,1158.7000,3.8000,11.4678,6.9126,7.5027,6.1350,1.7121,102.9981,1.2452,33.8062,40.9819,1.9200
2004-08,0.7111,1.2191,0.6561,1.8203,3.0018,1.3127,8.2768,6.1007,7.7997,46.3220,110.2336,1158.0318,3.8000,11.3953,6.8369,7.5362,6.4667,1.7145,103.4364,1.2623,34.0232,41.5208,1.9200
2004-09,0.7028,1.2224,0.6594,1.7937,2.8914,1.2881,8.2767,6.0866,7.7995,46.0548,110.0914,1148.7190,3.8000,11.4870,6.8416,7.4356,6.5349,1.6948,103.3257,1.2629,33.8929,41.4738,1.9200
2004-10,0.7337,1.2507,0.6846,1.8077,2.8520,1.2469,8.2765,5.9486,7.7889,45.7355,108.7835,1141.5700,3.8000,11.4037,6.5809,7.2453,6.3815,1.6767,103.8845,1.2330,33.7748,41.2935,1.9181
2004-11,0.7704,1.2997,0.7009,1.8607,2.7877,1.1968,8.2765,5.7178,7.7755,45.0325,104.6990,1086.4350,3.8000,11.3710,6.2700,6.9257,6.0305,1.6505,104.6320,1.1711,32.7770,40.2818,1.9152
2004-12,0.7675,1.3406,0.7149,1.9286,2.7150,1.2189,8.2765,5.5449,7.7760,43.8470,103.8104,1050.3739,3.8000,11.2012,6.1355,6.6969,5.7235,1.6402,104.7483,1.1465,32.1703,39.1835,1.9152
2005-01,0.7668,1.3123,0.7065,1.8797,2.6895,1.2248,8.2765,5.6699,7.7948,43.6150,103.3410,1037.9825,3.8000,11.2627,6.2672,6.8991,5.9587,1.6377,98.9288,1.1792,31.8465,38.7393,1.9152
2005-02,0.7812,1.3013,0.7155,1.8871,2.5971,1.2401,8.2765,5.7195,7.7994,43.5758,104.9442,1023.1105,3.8000,11.1373,6.3960,6.9800,6.0001,1.6381,99.2726,1.1918,31.4976,38.4462,1.9152
2005-03,0.7848,1.3185,0.7300,1.9043,2.7061,1.2160,8.2765,5.6488,7.7994,43.5861,105.2543,1007.7761,3.8000,11.1552,6.2116,6.8954,6.0328,1.6308,99.3896,1.1756,31.1055,38.5939,2.1247
2005-04,0.7738,1.2943,0.7209,1.8961,2.5760,1.2359,8.2765,5.7554,7.7984,43.6419,107.1938,1010.0667,3.8000,11.1121,6.3147,7.0814,6.1469,1.6511,99.6710,1.1954,31.4800,39.5214,2.1446
2005-05,0.7663,1.2697,0.7191,1.8559,2.4554,1.2555,8.2765,5.8628,7.7914,43.4095,106.5952,1001.8386,3.8000,10.9764,6.3656,7.2382,6.3267,1.6507,99.7910,1.2172,31.2652,39.8005,2.1446
2005-06,0.7667,1.2155,0.7083,1.8177,2.4148,1.2402,8.2765,6.1247,7.7755,43.5245,108.7473,1012.4600,3.8000,10.8197,6.4936,7.6229,6.7396,1.6723,99.9455,1.2665,31.3473,40.9168,2.1446
2005-07,0.7524,1.2041,0.6789,1.7507,2.3702,1.2229,8.2264,6.1943,7.7751,43.4340,111.9535,1036.5600,3.7872,10.6724,6.5783,7.8263,6.6966,1.6815,100.2830,1.2945,31.8855,41.6995,2.1446
